index,lband,uband,P1,P2,P3,R,RMSE
1,5,10,-7.22814128e06,4.34844365e09,-1.63154083e11,0.96,2.49833157e10
2,10,15,-1.72793713e08,1.06538527e11,-2.83695953e12,0.96,6.38391466e11
3,15,20,-1.79873111e09,1.05716281e12,-2.74337230e13,0.96,6.09484906e12
4,20,25,-1.67014302e09,9.88384185e11,-3.90160466e13,0.96,5.65031654e12
5,25.6,-2.42136993e08,1.44676220e11,-7.27167455e12,0.96,8.22340432e11
6,28.4,-2.15749026e08,1.47186233e11,-5.25550336e12,0.92,1.36257538e12
7,25,30,-8.49047253e08,4.39836923e11,-1.07767192e13,0.96,2.37564549e12
8,30.3,-1.05374887e09,6.15749059e11,2.21870265e13,0.94,4.36129879e12
9,30,35,-5.78821182e08,4.09300016e11,-7.39277758e12,0.93,3.67860958e12
10,36.8,-3.67641064e08,2.23500665e11,-3.44107714e12,0.93,1.76712865e12
11,35,40,-5.27393084e08,2.60815376e11,-4.81963679e12,0.94,1.61468490e12
12,40,45,-1.76485806e08,9.43602417e10,1.20746026e12,0.95,5.78446944e11
13,46.5,-9.16428947e06,1.10576870e10,3.46127070e12,0.84,1.99324850e11
14,45,50,-3.28417068e08,1.54464379e11,2.70338559e11,0.96,7.65976697e11
15,50,55,-4.35029980e08,1.94267789e11,-9.12633707e11,0.96,9.17807984e11
16,55.4,-7.45540942e07,2.70143268e10,6.20498828e12,0.60,4.21493552e11
17,58.4,-2.67242090e08,1.26513904e11,5.22846617e12,0.91,9.60988214e11
18,55,60,-1.11331394e08,4.91943896e10,2.59480808e12,0.94,2.86378660e11
19,60.9,-1.75317009e08,7.84311521e10,2.56019089e11,0.94,4.50958343e11
20,62.9,-1.95380036e08,8.57116193e10,6.10932407e12,0.89,6.88675932e11
21,60,65,-3.18739604e08,1.31380748e11,7.10288562e12,0.90,8.93006924e11
22,65,70,-1.54464890e08,6.57942854e10,3.90335230e12,0.93,3.82370215e11
23,70.3,-3.92892316e07,1.62255869e10,3.31133072e12,0.78,1.84543928e11
24,70,75,-1.17284653e08,5.16415922e10,2.62008424e12,0.94,2.82746960e11
25,76.5,-2.80655392e07,1.48549365e10,5.22726113e12,0.72,2.63413854e11
26,77,-1.42682444e07,1.64116032e10,4.19804672e12,0.88,2.42046487e11
27,78.9,-5.13752841e07,2.67845754e10,6.25669926e12,0.81,3.56475663e11
28,75,80,-1.09163517e08,4.63578518e10,4.91238247e12,0.89,3.39676578e11
29,80,85,-5.71385988e08,2.65288858e11,1.93295978e13,0.94,1.62478581e12
30,85,90,-1.26716263e09,6.53242857e11,2.77927431e13,0.94,4.18839876e12
31,90,95,-1.14503862e09,5.87977430e11,2.50221903e13,0.95,3.62200988e12
32,97.8,-4.60750790e08,3.84479195e11,3.11115764e13,0.90,4.64901797e12
33,95,100,-3.84402107e08,1.97008185e11,1.26370475e13,0.95,1.14344491e12
34,102.6,-7.45028477e08,4.75205812e11,1.89621526e13,0.93,4.08952635e12
35,103.2,-6.18608147e08,3.73585739e11,2.24459796e13,0.94,2.81357100e12
36,100,105,-4.16550795e08,2.04940624e11,5.82827246e12,0.96,1.07697392e12
37,121.6,-2.81408845e10,2.25475006e13,2.62203706e15,0.92,2.35540620e14
